Raw Median,Discount,Scenario,2024 to 2034,2024 to 2044,2034 to 2044,All
False,0%,Aus then UK 50%,"2,050 (1,440 to 2,930)","18,100 (12,300 to 26,400)","16,000 (10,800 to 23,600)","330,000 (218,000 to 507,000)"
False,0%,Aus then UK 70%,"2,860 (2,020 to 4,100)","25,200 (17,300 to 37,200)","22,400 (15,200 to 33,200)","462,000 (302,000 to 713,000)"
False,0%,Aus then UK 90%,"3,660 (2,570 to 5,200)","32,300 (22,100 to 47,500)","28,600 (19,500 to 42,300)","591,000 (387,000 to 913,000)"
False,0%,Aus then UK mandatory,"4,060 (2,860 to 5,810)","35,900 (24,600 to 52,900)","31,800 (21,600 to 47,000)","655,000 (430,000 to 1,010,000)"
False,0%,Australia 50%,"1,410 (995 to 2,020)","9,360 (6,460 to 13,900)","7,940 (5,490 to 11,800)","148,000 (99,600 to 228,000)"
False,0%,Australia 70%,"1,970 (1,380 to 2,870)","13,000 (8,970 to 19,300)","11,100 (7,610 to 16,500)","207,000 (138,000 to 315,000)"
False,0%,Australia 90%,"2,530 (1,760 to 3,700)","16,800 (11,600 to 25,100)","14,300 (9,860 to 21,300)","266,000 (179,000 to 407,000)"
False,0%,Australia mandatory,"2,810 (1,970 to 4,100)","18,700 (13,000 to 27,600)","15,900 (11,000 to 23,500)","295,000 (197,000 to 447,000)"
False,0%,BAU,"204,000,000 (196,000,000 to 212,000,000)","387,000,000 (371,000,000 to 403,000,000)","183,000,000 (175,000,000 to 191,000,000)","1,070,000,000 (1,020,000,000 to 1,130,000,000)"
False,0%,KCl subsitute (10%) all foods,"1,640 (1,130 to 2,330)","27,700 (18,800 to 39,600)","26,100 (17,600 to 37,300)","756,000 (503,000 to 1,120,000)"
False,0%,KCl subsitute (30%) envelope,"35,400 (24,600 to 48,400)","171,000 (118,000 to 236,000)","136,000 (92,700 to 188,000)","2,240,000 (1,490,000 to 3,210,000)"
False,0%,KCl subsitute (4.5%) discretionary,"2,910 (1,980 to 4,090)","22,600 (15,200 to 32,000)","19,700 (13,200 to 28,000)","383,000 (250,000 to 553,000)"
False,0%,No change,0.00 (0.00 to 0.00),0.00 (0.00 to 0.00),0.00 (0.00 to 0.00),0.00 (0.00 to 0.00)
False,0%,UK 50%,"3,230 (2,190 to 4,730)","21,500 (14,500 to 31,900)","18,200 (12,200 to 27,100)","337,000 (221,000 to 519,000)"
False,0%,UK 70%,"4,490 (3,060 to 6,590)","29,800 (20,100 to 44,600)","25,300 (17,000 to 37,900)","470,000 (309,000 to 724,000)"
False,0%,UK 90%,"5,740 (3,940 to 8,470)","38,200 (25,900 to 56,600)","32,500 (21,900 to 48,300)","603,000 (398,000 to 923,000)"
False,0%,UK mandatory,"6,400 (4,380 to 9,350)","42,600 (28,600 to 63,800)","36,200 (24,200 to 54,300)","667,000 (442,000 to 1,020,000)"
False,0%,UK mass media campaign,401 (201 to 737),"1,850 (900 to 3,430)","1,450 (708 to 2,680)","4,420 (2,240 to 8,180)"
False,0%,UK salt reduction program,"1,940 (1,350 to 2,770)","11,500 (7,890 to 16,800)","9,550 (6,540 to 14,100)","180,000 (121,000 to 270,000)"
False,0%,Who mandatory,"10,200 (7,060 to 14,400)","67,800 (46,100 to 97,300)","57,600 (39,000 to 82,900)","1,070,000 (709,000 to 1,580,000)"
False,3%,Aus then UK 50%,"1,250 (876 to 1,790)","8,910 (6,100 to 13,100)","7,660 (5,180 to 11,300)","60,100 (40,100 to 90,600)"
