Raw Median,Discount,Scenario,2024 to 2034,2024 to 2044,2034 to 2044,All
False,0%,Aus then UK 50%,343 (273 to 396),-184 (-490 to 70),-0.26 (-242 to 205),"3,090 (200 to 8,110)"
False,0%,Aus then UK 70%,318 (222 to 392),-418 (-855 to -66),-162 (-506 to 123),"4,180 (111 to 11,100)"
False,0%,Aus then UK 90%,292 (166 to 389),"-652 (-1,200 to -206)",-327 (-756 to 46),"5,260 (16 to 14,100)"
False,0%,Aus then UK mandatory,280 (137 to 387),"-769 (-1,370 to -259)",-406 (-880 to 9.4),"5,780 (-52 to 15,400)"
False,0%,Australia 50%,366 (217 to 577),117 (-109 to 356),232 (40 to 462),"1,480 (230 to 3,420)"
False,0%,Australia 70%,349 (185 to 569),1.6 (-274 to 285),164 (-66 to 416),"1,890 (131 to 4,620)"
False,0%,Australia 90%,332 (156 to 568),-116 (-447 to 213),94 (-176 to 382),"2,310 (52 to 5,780)"
False,0%,Australia mandatory,322 (137 to 566),-175 (-537 to 179),59 (-230 to 368),"2,500 (5.5 to 6,380)"
False,0%,BAU,"-3,610,000 (-3,620,000 to -3,600,000)","-6,880,000 (-6,910,000 to -6,850,000)","-3,270,000 (-3,300,000 to -3,240,000)","-8,300,000 (-8,750,000 to -7,830,000)"
False,0%,KCl subsitute (10%) all foods,"757 (345 to 1,530)","-392 (-1,090 to 471)",-221 (-860 to 621),"6,050 (-485 to 15,500)"
False,0%,KCl subsitute (30%) envelope,"-688 (-2,180 to 1,870)","-4,890 (-8,100 to -1,800)","-2,240 (-4,540 to 443)","13,200 (-6,450 to 38,600)"
False,0%,KCl subsitute (4.5%) discretionary,361 (77.2 to 822),-323 (-811 to 262),-67.8 (-476 to 479),"2,980 (-346 to 7,650)"
False,0%,No change,0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0)
False,0%,UK 50%,275 (88 to 507),-257 (-647 to 113),-0.66 (-304 to 308),"3,130 (127 to 8,180)"
False,0%,UK 70%,224 (-5.2 to 487),"-519 (-1,050 to -36)",-167 (-562 to 222),"4,190 (42 to 11,300)"
False,0%,UK 90%,173 (-96 to 473),"-778 (-1,450 to -184)",-328 (-835 to 145),"5,210 (-97 to 14,200)"
False,0%,UK mandatory,144 (-142 to 465),"-912 (-1,660 to -260)",-409 (-956 to 108),"5,760 (-142 to 15,500)"
False,0%,UK mass media campaign,-3.9 (-34 to 19),-34 (-91 to 4.4),-0.39 (-31 to 22),12 (-33 to 44)
False,0%,UK salt reduction program,540 (340 to 819),226 (-61 to 545),366 (118 to 668),"1,740 (179 to 4,180)"
