Raw Median,Discount,Scenario,2024 to 2034,2024 to 2044,2034 to 2044,All
False,0%,Aus then UK 50%,288 (238 to 325),40.1 (-156 to 230),158 (3.01 to 325),"4,770 (1,770 to 9,950)"
False,0%,Aus then UK 70%,240 (171 to 293),-106 (-383 to 157),59.7 (-160 to 289),"6,440 (2,340 to 13,700)"
False,0%,Aus then UK 90%,193 (103 to 259),-252 (-608 to 90.3),-41.2 (-318 to 257),"8,150 (2,850 to 17,400)"
False,0%,Aus then UK mandatory,169 (67.3 to 244),-325 (-723 to 56.3),-88.0 (-397 to 242),"9,050 (3,140 to 19,200)"
False,0%,Australia 50%,332 (199 to 528),220 (41.0 to 434),294 (136 to 504),"2,220 (914 to 4,390)"
False,0%,Australia 70%,303 (163 to 502),145 (-58.1 to 377),248 (67.2 to 469),"2,930 (1,130 to 5,960)"
False,0%,Australia 90%,274 (129 to 474),69.9 (-165 to 322),203 (1.17 to 436),"3,650 (1,350 to 7,590)"
False,0%,Australia mandatory,259 (109 to 458),32.7 (-227 to 297),181 (-33.4 to 421),"4,010 (1,470 to 8,360)"
False,0%,BAU,"2,260,000 (2,240,000 to 2,270,000)","4,750,000 (4,700,000 to 4,800,000)","2,490,000 (2,450,000 to 2,530,000)","18,800,000 (18,300,000 to 19,300,000)"
False,0%,KCl subsitute (10%) all foods,193 (25.3 to 556),-396 (-813 to 73.1),-277 (-650 to 167),"9,900 (3,070 to 20,000)"
False,0%,KCl subsitute (30%) envelope,"-1,570 (-2,250 to -1,070)","-3,310 (-5,090 to -1,850)","-1,750 (-2,990 to -637)","26,000 (6,940 to 52,900)"
False,0%,KCl subsitute (4.5%) discretionary,147 (-31.5 to 512),-153 (-464 to 259),12.1 (-258 to 396),"5,010 (1,750 to 10,000)"
False,0%,No change,0.00 (0.00 to 0.00),0.00 (0.00 to 0.00),0.00 (0.00 to 0.00),0.00 (0.00 to 0.00)
False,0%,UK 50%,243 (97.6 to 441),15.3 (-268 to 302),175 (-49.3 to 429),"4,790 (1,760 to 10,000)"
False,0%,UK 70%,178 (15.1 to 384),-142 (-513 to 213),81.1 (-207 to 390),"6,540 (2,280 to 13,800)"
False,0%,UK 90%,115 (-69.8 to 334),-297 (-747 to 127),-12.2 (-358 to 359),"8,250 (2,860 to 17,600)"
False,0%,UK mandatory,84.5 (-114 to 307),-374 (-869 to 88.5),-59.3 (-432 to 342),"9,140 (3,030 to 19,300)"
False,0%,UK mass media campaign,8.43 (-11.7 to 26.9),2.12 (-28.1 to 24.4),22.5 (5.90 to 39.8),55.9 (24.5 to 105)
False,0%,UK salt reduction program,353 (216 to 549),216 (28.8 to 441),298 (132 to 517),"2,580 (1,040 to 5,180)"
False,0%,Who mandatory,-127 (-383 to 120),"-981 (-1,750 to -304)","-446 (-1,000 to 110)","13,200 (4,050 to 27,600)"
False,3%,Aus then UK 50%,23.1 (-15.5 to 52.3),-133 (-262 to -8.38),-40.5 (-136 to 62.3),"475 (-124 to 1,460)"
False,3%,Aus then UK 70%,-14.3 (-68.9 to 26.9),-233 (-415 to -64.3),-103 (-238 to 37.6),"616 (-229 to 1,950)"
