Raw Median,Discount,Scenario,2024 to 2034,2024 to 2044,2034 to 2044,All
False,0%,Aus then UK 50%,"1,170 (719 to 1,890)","14,700 (9,110 to 24,100)","13,500 (8,360 to 22,100)","387,000 (242,000 to 620,000)"
False,0%,Aus then UK 70%,"1,620 (1,010 to 2,610)","20,500 (12,600 to 33,200)","18,900 (11,600 to 30,600)","539,000 (337,000 to 867,000)"
False,0%,Aus then UK 90%,"2,080 (1,300 to 3,360)","26,300 (16,200 to 42,400)","24,200 (14,900 to 39,100)","692,000 (430,000 to 1,110,000)"
False,0%,Aus then UK mandatory,"2,310 (1,440 to 3,740)","29,100 (18,100 to 47,300)","26,800 (16,500 to 43,500)","765,000 (483,000 to 1,220,000)"
False,0%,Australia 50%,"825 (511 to 1,330)","7,550 (4,730 to 12,100)","6,730 (4,200 to 10,800)","172,000 (110,000 to 271,000)"
False,0%,Australia 70%,"1,150 (703 to 1,840)","10,600 (6,530 to 16,800)","9,420 (5,820 to 14,900)","240,000 (153,000 to 376,000)"
False,0%,Australia 90%,"1,470 (904 to 2,420)","13,500 (8,460 to 21,900)","12,100 (7,540 to 19,400)","308,000 (195,000 to 484,000)"
False,0%,Australia mandatory,"1,640 (1,010 to 2,670)","15,100 (9,430 to 24,000)","13,400 (8,390 to 21,300)","343,000 (218,000 to 536,000)"
False,0%,BAU,"242,000,000 (241,000,000 to 243,000,000)","465,000,000 (462,000,000 to 468,000,000)","223,000,000 (221,000,000 to 225,000,000)","1,350,000,000 (1,320,000,000 to 1,370,000,000)"
False,0%,KCl subsitute (10%) all foods,"846 (521 to 1,380)","21,300 (13,100 to 33,900)","20,500 (12,500 to 32,500)","875,000 (554,000 to 1,330,000)"
False,0%,KCl subsitute (30%) envelope,"21,300 (13,400 to 32,400)","136,000 (86,300 to 206,000)","115,000 (72,800 to 174,000)","2,560,000 (1,630,000 to 3,850,000)"
False,0%,KCl subsitute (4.5%) discretionary,"1,610 (971 to 2,550)","17,800 (10,900 to 27,300)","16,200 (9,930 to 24,800)","438,000 (274,000 to 669,000)"
False,0%,No change,0.00 (0.00 to 0.00),0.00 (0.00 to 0.00),0.00 (0.00 to 0.00),0.00 (0.00 to 0.00)
False,0%,UK 50%,"1,940 (1,170 to 3,240)","17,600 (10,900 to 28,800)","15,700 (9,650 to 25,500)","393,000 (244,000 to 628,000)"
False,0%,UK 70%,"2,700 (1,630 to 4,440)","24,700 (15,200 to 40,300)","22,000 (13,600 to 35,900)","549,000 (344,000 to 883,000)"
False,0%,UK 90%,"3,470 (2,100 to 5,730)","31,500 (19,500 to 50,900)","28,100 (17,300 to 45,400)","703,000 (439,000 to 1,130,000)"
False,0%,UK mandatory,"3,840 (2,370 to 6,390)","35,000 (21,700 to 56,700)","31,100 (19,300 to 50,500)","779,000 (488,000 to 1,250,000)"
False,0%,UK mass media campaign,230 (107 to 456),"1,510 (717 to 2,940)","1,280 (607 to 2,470)","4,600 (2,250 to 8,590)"
False,0%,UK salt reduction program,"1,190 (759 to 1,850)","9,160 (5,780 to 14,300)","7,970 (5,020 to 12,400)","205,000 (131,000 to 317,000)"
False,0%,Who mandatory,"5,910 (3,640 to 9,240)","54,000 (33,800 to 83,700)","48,100 (29,900 to 74,700)","1,230,000 (767,000 to 1,890,000)"
False,3%,Aus then UK 50%,"895 (551 to 1,440)","9,060 (5,610 to 14,800)","8,170 (5,040 to 13,300)","81,500 (51,400 to 130,000)"
False,3%,Aus then UK 70%,"1,250 (777 to 2,000)","12,600 (7,810 to 20,400)","11,400 (6,960 to 18,500)","114,000 (71,700 to 181,000)"
False,3%,Aus then UK 90%,"1,590 (995 to 2,570)","16,200 (9,950 to 26,100)","14,600 (8,970 to 23,600)","146,000 (91,900 to 231,000)"
False,3%,Aus then UK mandatory,"1,780 (1,100 to 2,870)","17,900 (11,100 to 29,100)","16,200 (9,960 to 26,300)","162,000 (103,000 to 256,000)"
False,3%,Australia 50%,"637 (394 to 1,030)","4,710 (2,950 to 7,510)","4,070 (2,540 to 6,520)","37,000 (23,500 to 58,000)"
False,3%,Australia 70%,"890 (544 to 1,420)","6,590 (4,080 to 10,500)","5,700 (3,520 to 9,050)","51,700 (33,000 to 80,100)"
False,3%,Australia 90%,"1,140 (698 to 1,870)","8,450 (5,270 to 13,700)","7,320 (4,560 to 11,800)","66,600 (42,200 to 104,000)"
False,3%,Australia mandatory,"1,270 (782 to 2,060)","9,390 (5,880 to 15,000)","8,130 (5,080 to 12,900)","74,000 (47,300 to 115,000)"
False,3%,BAU,"205,000,000 (204,000,000 to 206,000,000)","345,000,000 (342,000,000 to 347,000,000)","140,000,000 (138,000,000 to 141,000,000)","696,000,000 (690,000,000 to 703,000,000)"
False,3%,KCl subsitute (10%) all foods,"642 (395 to 1,040)","12,800 (7,860 to 20,400)","12,200 (7,450 to 19,300)","175,000 (111,000 to 266,000)"
False,3%,KCl subsitute (30%) envelope,"16,700 (10,500 to 25,400)","86,700 (54,800 to 131,000)","69,900 (44,200 to 106,000)","570,000 (365,000 to 847,000)"
False,3%,KCl subsitute (4.5%) discretionary,"1,240 (743 to 1,950)","11,000 (6,710 to 16,900)","9,770 (5,990 to 15,000)","93,300 (59,100 to 142,000)"
False,3%,No change,0.00 (0.00 to 0.00),0.00 (0.00 to 0.00),0.00 (0.00 to 0.00),0.00 (0.00 to 0.00)
False,3%,UK 50%,"1,500 (904 to 2,500)","11,000 (6,790 to 18,000)","9,500 (5,840 to 15,500)","85,100 (53,300 to 136,000)"
False,3%,UK 70%,"2,080 (1,260 to 3,430)","15,400 (9,470 to 25,200)","13,300 (8,230 to 21,800)","119,000 (74,600 to 188,000)"
False,3%,UK 90%,"2,680 (1,630 to 4,430)","19,600 (12,200 to 31,800)","17,000 (10,500 to 27,500)","152,000 (95,500 to 241,000)"
False,3%,UK mandatory,"2,960 (1,830 to 4,930)","21,800 (13,500 to 35,500)","18,900 (11,700 to 30,500)","168,000 (106,000 to 267,000)"
